"bill_id","CAP_majortopic","machine_learning_coded","proposal_id","bill_title","bill_title_de","bill_date","bill_legislature","bill_parl_decision_date","proposal_total_bills","bill_act_type_detail","bill_direct_democracy","bill_dd_type","bill_type_description","proposal_related_department","proposal_descriptors","rs_id","bill_ro","bill_ro_url","ff_input_id","ff_output_id","bill_ff_output","bill_ff_output_url","bill_proposal_url_manual","bill_ff_page_start","bill_ff_page_end","bill_navettes","bill_treatment_outcome","bill_coder_comments","bill_international","bill_eu","bill_eu_implementation","bill_eu_adaptation","bill_initiation_date","bill_initiation_actor_type","bill_priority_council","bill_treatment_category","bill_conciliation","bill_nc_vote_date","bill_nc_vote_yes","bill_nc_vote_no","bill_nc_vote_abs","bill_sc_vote_date","bill_sc_vote_yes","bill_sc_vote_no","bill_sc_vote_abs","bill_referendum_launched","bill_urgency_clause","bill_consultations_count","bill_preparl_steps_count","majortopic","intervention_id1","intervention_id2","intervention_id3","intervention_id4","intervention_id5","intervention_id6","intervention_id7","intervention_id8","intervention_id9","intervention_id10","consultation_id1","consultation_id2","consultation_id3","io_id1","io_id2","io_id3","io_id4"
"19950055-1",17,1,"19950055","Arrêté fédéral relatif aux crédits alloués pour les programmes prioritaires de recherche pendant la période de 1996 à 1999","","1995-10-02",44,"1995-12-19",2,42,"no","none","simple federal decree regarding a funding decision","DFF","Haushaltsplan; Sparmassnahme; SPP; Arbeitslosenversicherung; Forschungspolitik; Schwerverkehrsabgabe; Messgerät; dringlicher Bundesbeschluss","","","","","","","","",NA,NA,0,"non-consideration","","","","","","","","CE/SC","II","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950055-2",5,1,"19950055","Arrêté fédéral sur le financement de l'assurance-chômage","","1995-10-02",44,"1995-12-12",2,11,"yes","optional","urgent federal law","DFF","Haushaltsplan; Sparmassnahme; SPP; Arbeitslosenversicherung; Forschungspolitik; Schwerverkehrsabgabe; Messgerät; dringlicher Bundesbeschluss","","","","","","","","",NA,NA,0,"non-consideration","","none","","none","","","","CE/SC","II","no","",NA,NA,NA,"",NA,NA,0,"no","",0,0,"","","","","","","","","","","","","","","","","",""
"19950056-1",20,0,"19950056","Arrêté fédéral sur le transfert de la commune bernoise de Vellerat au canton du Jura","Bundesbeschluss über den Uebertritt der bernischen Gemeinde Vellerat zum Kanton Jura ","1995-08-16",44,"1995-12-21",1,35,"yes","optional","other federal decree","DFJP","Kantonszugehörigkeit; Gemeinde; Jura (Kanton); Bern (Kanton); Grenze","132.223","","","","10108468","","","",10,10,0,"parl_adopted","JC : ajouter Ad 85.265-1

JC_AC (FMAJ)","none","none","none","missing","1985-11-22","parl_committee","CN/NC","IV","no","1995-12-21",160,5,8,"1995-12-21",42,0,0,"no","none",0,0,"","","","","","","","","","","","","","","","","",""
"19950057-1",1,0,"19950057","Arrêté fédéral instituant un taux spécial de la taxe sur la valeur ajoutée pour les prestations du secteur de l'hébergement","Bundesbeschluss über einen Sondersatz der Mehrwertsteuer für Beherbergungsleistungen","1995-08-16",44,"1996-03-22",1,12,"yes","optional","federal law","DFF","Hotellerie; Mehrwertsteuersatz; Steuersenkung; Tourismus","641.202","","","","10108560","","","",17,17,0.5,"parl_adopted","","none","none","none","compatible_reform","1995-01-01","government","CE/SC","II","no","1996-03-22",93,84,0,"1996-03-22",25,9,0,"no","none",0,0,"","","","","","","","","","","","","","","","","",""
"19950058-1",19,1,"19950058","Arrêté fédéral concernant l'accord avec la République italienne sur la coopération dans le domaine de la prévision et de la prévention des risques majeurs et de l'assistance mutuelle en cas de catastrophe naturelle ou imputable à l'activité humaine","Bundesbeschluss betreffend das Abkommen mit der Italienischen Republik über die Zusammenarbeit im Bereich der Risikovorsorge und -vorbeugung und der gegenseitigen Hilfeleistung bei natürlichen oder durch menschliche Tätigkeit verursachten Katastrophen ","1995-09-13",44,"1996-03-19",1,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFAE","Katastrophenhilfe; Italien; bilaterales Abkommen; Katastrophe; Graubünden; Tessin; Wallis","","RO 2000 1795","http://www.admin.ch/opc/fr/official-compilation/2000/1795.pdf","","","","","",8,8,0,"parl_adopted","Output RO 2000 1795","","","","","","","CN/NC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950059-1",8,0,"19950059","Loi fédérale sur l'utilisation des forces hydrauliques","Bundesgesetz über die Nutzbarmachung der Wasserkräfte ","1995-08-16",44,"1996-12-13",1,12,"yes","optional","federal law","DETEC","Wasserkraft; Wassernutzung; Wasserstrassennetz; Wasserkraftwerk; Gesetz; Berggebiet; Hydrologie","721.80","","","","10108863","","","",29,38,2,"parl_adopted","Pour cet objet, la chronologie est difficile à établir. Il y a une première série de travaux préparatoire (p.4 PDF) et une mise en consultation entre 1981 et 1990. La consultation lié à l'objet que j'ai identifié a commencé en 1983 ce qui me semble étrange vu la date de l'objet mais je n'ai pas retrouvé d'autres indication et les projets semblent complètement liés. Du coup, j'ai identifié la date du début du processus en 1981. 
Comme il est clairement stipulé dans la première ligne de la page 5 du PDF, l'avant projet de 1990 est remanié par deux professeurs.  Il n'est pas clairement stipulé dans quel cadre institutionnel cette modification est opérée j'ai donc indiqué cela comme 'other' dans les procédures pré-parlementaires. 

JC : eu_adaptation changé à compatible ? partie européenne pas très claire

JC_Q","none","none","none","incompatible_reform","1981-06-30","government","CE/SC","II","no","1996-12-13",125,38,1,"1996-12-13",39,4,0,"no","none",1,2,"","","","","","","","","","","","1983-30","","","","","",""
"19950060-1",2,0,"19950060","Arrêté fédéral portant sur la Convention sur l'élimination de toutes les formes de discrimination à l'égard des femmes","Bundesbeschluss betreffend das Uebereinkommen zur Beseitigung jeder Form von Diskriminierung der Frau","1995-08-23",44,"1996-10-04",1,34,"yes","optional","federal decree regarding an international agreement (submitted to the optional referendum)","DFI","Stellung der Frau; Konvention UNO; Kampf gegen die Diskriminierung; Gleichstellung von Mann und Frau; sexuelle Diskriminierung; Vorbehalt bei einem Übereinkommen; Kanton; Gewalt; Frau; Menschenhandel; Erwerbsleben; Zugang zur Bildung; Staatsangehörigkeit; Wehrdienst für Frauen; Ehe- und Familienname; Eherecht","","RO 1999 1577","http://www.admin.ch/opc/fr/official-compilation/1999/1577.pdf","","10108780","","","",83,83,0,"parl_adopted","","agreement","none","none","compatible_reform","1991-06-21","mp","CE/SC","I","no","1996-10-04",147,18,10,"1996-10-04",31,1,0,"no","none",0,0,"","19913243","","","","","","","","","","","","","A3375","","",""
"19950061-1",20,1,"19950061","Arrêté fédéral relatif à l'initiative populaire ""Négociations d'adhésion à la CE: que le peuple décide!""","Bundesbeschluss betreffend die Volksinitiative ""EG-Beitrittsverhandlungen vors Volk!"" ","1995-08-23",44,"1996-06-21",1,31,"yes","initiative","federal decree regarding a popular initiative","DFAE","EU-Beitrittsverhandlung; Volksabstimmung; politische Rechte; Volksinitiative; Kompetenzregelung; Aufgaben der Exekutive","","","","","10108658","","","",7,7,0,"parl_adopted","JC : changé de no_eu_law à missing et de obligation à none

JC_M","none","none","none","missing","1994-01-21","people","CN/NC","II","no","1996-06-21",174,10,3,"1996-06-21",37,0,0,"","none",0,0,"","","","","","","","","","","","","","","","","",""
"19950062-1",20,1,"19950062","Arrêté fédéral relatif à l'initiative populaire ""Pour notre avenir au coeur de l'Europe""","","1995-08-23",44,"1997-06-10",1,31,"yes","initiative","federal decree regarding a popular initiative","DEFR","Europäischer Wirtschaftsraum; Volksinitiative; Kompetenzregelung; Aufgaben der Exekutive; Rückzug","","","","","","","","",NA,NA,0,"withdrawal","JC3 : l'initiative a été retirée après la première cession du CN. J'ai mis 0 en navettes mais je ne suis pas sur","none","","none","","","","CN/NC","II","no","",NA,NA,NA,"",NA,NA,0,"","",0,0,"","","","","","","","","","","","","","","","","",""
"19950064-1",7,1,"19950064","Arrêté fédéral concernant la ratification de la Convention du 25 février 1991 sur l'évaluation de l'impact sur l'environnement dans un contexte transfrontière","Bundesbeschluss über das Uebereinkommen vom 25. Februar 1991 über die Umweltverträglichkeitsprüfung im grenzüberschreitenden Rahmen","1995-09-05",44,"1996-06-13",1,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFI","Umweltverträglichkeitsprüfung; grenzüberschreitende Umweltbelastung; grenzüberschreitende Zusammenarbeit; Grundwasser; Halbstoff- und Papierindustrie; internationales Übereinkommen; Konvention UNO; Ecosoc","","RO 2003 4091","http://www.admin.ch/opc/fr/official-compilation/2003/4091.pdf","","","","","",12,12,0,"parl_adopted","Output 
https://www.admin.ch/opc/fr/official-compilation/2003/4091.pdf

RO 2003 4091","","","","","","","CN/NC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",1,0,"","","","","","","","","","","","1994-3","","","","","",""
"19950065-1",18,0,"19950065","Arrêté fédéral portant approbation de mesures touchant le tarif des douanes","Bundesbeschluss über die Genehmigung von zolltarifarischen Massnahmen","1995-09-05",44,"1995-12-14",1,43,"no","none","other simple federal decree","DEFR","Zolltarif; Zolltarifpolitik","","","","","10108482","","","",20,21,0,"parl_adopted","","","","","","","","CN/NC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950066-1",19,1,"19950066","Arrêté fédéral concernant l'approbation des échanges de lettres relatifs au statut des fonctionnaires internationaux de nationalité suisse à l'égard des assurances sociales suisses (AVS/AI/APG et AC), conclus avec les organisations internationales établies en Suisse","Bundesbeschluss betreffend die Genehmigung der Briefwechsel über den Status der internationalen Beamten schweizerischer Nationalität hinsichtlich der schweizerischen Sozialversicherungen (AHV/IV/EO und ALV), abgeschlossen mit den in der Schweiz niedergelassenen internationalen Organisationen","1995-09-13",44,"1996-03-04",2,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFAE","Beamter/-in; internationale Organisation; rechtlicher Status internationaler Organisationen; Sozialrecht","","","","","10108567
","","","",9,10,0,"parl_adopted","","","","","","","","CE/SC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950066-2",NA,0,"19950066","Arrêté fédéral déléguant au Conseil fédéral la compétence de conclure avec des organisations internationales des accords relatifs au statut des fonctionnaires internationaux de nationalité suisse à l'égard des assurances sociales suisses (AVS/AI/APG et AC)","Bundesbeschluss betreffend die Delegation der Kompetenz an den Bundesrat zum Abschluss von Abkommen mit internationalen Organisationen über den Status der internationalen Beamten schweizerischer Nationalität hinsichtlich der schweizerischen Sozialversicherungen (AHV/IV/EO und ALV) ","1995-09-13",44,"1996-03-22",2,12,"yes","optional","federal law","DFAE","Beamter/-in; internationale Organisation; rechtlicher Status internationaler Organisationen; Sozialrecht","","","","","","","","",11,11,0,"parl_adopted","Pas de ff_output
Cet arrêté fédéral comporte une forte dimension international. Cependant, cette dimension s'insère dans le débats de l'indépendance des OIs par rapport à l'Etat et ne prend pas origine dans un traité mais dans une décision du TF(PDF p.3, 2ème § ) . C'est pour cette raison que j'ai codé none sous international. 
Aussi, à la page 4 du PDF sous le point 13, on a une liste de toutes les OIs avec lesquels il y a eu un échange de lettre. Comme il y en a énormément et que le code international est 'none' j'ai décidé de n'en lister aucune cela est discutable cependant. ","none","none","none","missing","1991-02-25","government","CE/SC","V","no","1996-03-22",174,0,0,"1996-03-22",40,0,0,"no","none",0,0,"","","","","","","","","","","","","","","","","",""
"19950068-1",12,0,"19950068","Arrêté fédéral relatif à la coopération avec les tribunaux internationaux chargés de poursuivre les violations graves du droit international humanitaire","Bundesbeschluss über die Zusammenarbeit mit den Internationalen Gerichten zur Verfolgung von schwerwiegenden Verletzungen des humanitären Völkerrechts","1995-10-18",44,"1995-12-21",1,11,"yes","optional","urgent federal law","DFJP","internationales humanitäres Recht; Kriegsverbrechen; Internationaler Gerichtshof; internationale Gerichtsbarkeit; Rechtshilfe; Jugoslawien; Bosnien-Herzegowina; Kroatien; Ruanda; Auslieferung; Strafvollzugsrecht","","","","","","","","",28,36,0,"parl_adopted","Output (avec modification plus récentes)
https://www.admin.ch/opc/fr/classified-compilation/19950630/200701010000/351.20.pdf

Sinon RO 1996 2

CF se défend être à l'initiative mais très proche conclusion négotiations

RS 351.1?

JC_AC","autonomous_adaptation","none","none","no_eu_law","1995-03-20","government","CE/SC","III","no","1995-12-21",176,2,1,"1995-12-21",41,1,0,"no","none",0,1,"","","","","","","","","","","","","","","A3375","","",""
"19950069-1",1,1,"19950069","Arrêté fédéral approuvant une convention avec la Principauté de Liechtenstein sur différentes questions d'ordre fiscal","Bundesbeschluss betreffend ein Abkommen mit dem Fürstentum Liechtenstein über verschiedene Steuerfragen","1995-10-25",44,"1996-06-12",1,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFF","Steuerübereinkommen; Liechtenstein; Grenzgänger/in","","","","","10108682
","","","",6,6,0,"parl_adopted","","","","","","","","CE/SC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950070-1",6,0,"19950070","Loi fédérale sur l'Institut suisse de droit comparé","Bundesgesetz über das Schweizerische Institut für Rechtsvergleichung","1995-11-18",44,"1996-06-21",1,12,"yes","optional","federal law","DFJP","vergleichendes Recht; Bundesbauten; Dokumentationssystem; Waadt","425.1","","","","10108663","","","",11,11,0,"parl_adopted","","none","autonomous_adaptation","none","partial_adaptation","1995-06-30","government","CN/NC","IV","no","1996-06-21",161,19,7,"1996-06-21",35,0,0,"no","none",0,2,"","","","","","","","","","","","","","","","","",""
"19950071-1",10,0,"19950071","Loi fédérale sur l'imposition des véhicules automobiles (Limpauto)","Automobilsteuergesetz (AStG)","1995-10-25",44,"1996-06-21",1,12,"yes","optional","federal law","DFF","Auto; Einfuhrabgabe; Verbrauchssteuer; Harmonisierung des Zollwesens; Abschaffung der Zölle","641.51","","","","10108665","","","",33,45,1,"parl_adopted","JC_OK","none","agreement_implementation","obligation","full_adaptation","1972-07-22","international","CE/SC","III","no","1996-06-21",100,32,43,"1996-06-21",36,0,0,"no","none",0,0,"","","","","","","","","","","","","","","","","",""
"19950072-1",8,1,"19950072","Arrêté fédéral relatif à la Convention sur la sûreté nucléaire","Bundesbeschluss betreffend das Uebereinkommen über nukleare Sicherheit ","1995-10-18",44,"1996-06-20",1,43,"no","none","other simple federal decree","DETEC","nukleare Sicherheit; IAEO; internationales Übereinkommen; Kernkraftwerk","","","","","","","","",19,19,0,"parl_adopted","RO 1997 2380

JC_AC","","","","","","","CN/NC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950078-1",20,1,"19950078","Arrêté fédéral concernant la ratification de l'amendement du 25 novembre 1992 du Protocole de Montréal relatif à des substances qui appauvrissent la couche d'ozone","Bundesbeschluss betreffend die Ratifizierung der Aenderung des Protokolls von Montreal über die Stoffe, welche die Ozonschicht abbauen","1995-11-29",44,"1996-06-11",1,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFI","Verunreinigung der Stratosphäre; Ozonschicht; FCKW","","RO 2002 2792","http://www.admin.ch/opc/fr/official-compilation/2002/2792.pdf","","","","","",7,7,0,"parl_adopted","Output 
https://www.admin.ch/opc/fr/official-compilation/2002/2792.pdf

RO 2002 2792","","","","","","","CN/NC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950079-1",12,0,"19950079","Code civil suisse (état civil, conclusion du mariage et divorce, filiation, dette alimentaire, asiles de famille, tutelle et courtage matrimonial)","Schweizerisches Zivilgesetzbuch (Personenstand, Eheschliessung, Scheidung, Kindesrecht, Verwandtenunterstützungspflicht, Heimstätten, Vormundschaft, Ehevermittlung)","1995-11-15",44,"1998-06-26",1,12,"yes","optional","federal law","DFJP","Ehescheidung; Eherecht; Familienrecht; Kindsrecht; Unterhaltspflicht; Trennung der Ehepartner; Sorgerecht; Zivilgesetzbuch; Familienstand; Eheschliessung; Eltern","210","RO 1999 1118","http://www.admin.ch/opc/fr/official-compilation/1999/1118.pdf","","10109486","","","",200,231,2,"parl_adopted","","none","none","none","no_eu_law","1968-30-06","government","CE/SC","II","yes","1998-06-26",149,1,26,"1998-06-26",42,0,0,"no","none",1,1,"","","","","","","","","","","","1992-8","","","","","",""
"19950080-1",19,1,"19950080","Arrêté fédéral relatif à la Convention sur le commerce des céréales de 1995 de l'Accord international sur les céréales de 1995","Bundesbeschluss zum Uebereinkommen von 1995 betreffend Getreidehandels des Internationalen Getreideabkommens von 1995","1995-11-15",44,"1996-03-06",1,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DEFR","Getreide; internationales Übereinkommen; GATT; aktives Wahlrecht","","","","","10108567
","","","",11,11,0,"parl_adopted","","","","","","","","CE/SC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950082-1",3,0,"19950082","Loi fédérale sur l'alcool","Bundesgesetz über die gebrannten Wasser (Alkoholgesetz) ","1995-11-22",44,"1996-10-04",1,12,"yes","optional","federal law","DFF","Alkohol; Gesetz; Branntwein; Alkoholsteuer; Eidgenössische Alkoholverwaltung; Steuerbelastung; Übernahmepflicht; alkoholisches Getränk; Bundesamt für Landwirtschaft; GATT","680","","","","10108778","","","",29,39,1,"parl_adopted","Check","agreement_implementation","none","preparation","partial_adaptation","1989-11-16","government","CE/SC","IV","no","1996-10-04",178,0,1,"1996-10-04",35,0,0,"no","none",1,1,"","","","","","","","","","","","1993-19","","","F0985","","",""
"19950085-1",NA,0,"19950085","Arrêté fédéral concernant la Convention internationale contre le trafic illicite de stupéfiants et de substances psychotropes","Bundesbeschluss betreffend das Uebereinkommen gegen den unerlaubten Verkehr mit Betäubungsmitteln und psychotropen Stoffen","1995-11-29",44,"2005-03-16",1,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFI","Drogenhandel; Betäubungsmittel; Strafbarkeit; Drogenpolitik; Konvention UNO","","RO 2006 529","http://www.admin.ch/opc/fr/official-compilation/2006/529.pdf","","","","","",29,29,0,"parl_adopted","Output dans RO
https://www.admin.ch/opc/fr/official-compilation/2006/529.pdf","","","","","","","CN/NC","IV","no","",NA,NA,NA,"",NA,NA,NA,"","",1,0,"","","","","","","","","","","","1992-4","","","","","",""
"19950088-1",9,0,"19950088","Loi sur l'asile (LA)","Asylgesetz (AsylG) ","1995-12-04",45,"1998-06-26",2,12,"yes","optional","federal law","DFJP","politisches Asyl; Aufenthalt von Ausländern/-innen; Gesetz","142.31","RO 1999 2262","http://www.admin.ch/opc/fr/official-compilation/1999/2262.pdf","","10109487","","","",146,181,2,"parl_adopted","JC : eu_adaptation changé de compatible_reform à partial_adaptation

JC_M","none","none","preparation","partial_adaptation","1992-03-02","mp","CN/NC","III","yes","1998-06-26",114,59,3,"1998-06-26",36,5,0,"no","none",1,3,"","19923049","","","","","","","","","","1994-12","","","","","",""
"19950088-2",9,0,"19950088","Loi fédérale sur le séjour et l'établissement des étrangers","Bundesgesetz über Aufenthalt und Niederlassung der Ausländer","1995-12-04",45,"1998-06-26",2,12,"yes","optional","federal law","DFJP","politisches Asyl; Aufenthalt von Ausländern/-innen; Gesetz","142.20","RO 1999 1111","http://www.admin.ch/opc/fr/official-compilation/1999/1111.pdf","","10109488","","","",182,186,2,"parl_adopted","19933043

93.3043 - Postulat: Lignes directrices pour une loi sur les migrations
Déposé par Commission des institutions politiques CN

Il semble que 2 projets soit lancés en parallèle, l'un par la Commission du CN et l'autre par le groupe d'expert institué par le CF. 

=> JJ_note : pourquoi codage impulsion = mp alors ?

Les travaux réalisés pour mettre sur pied la législation sur les migrations exigée par le Parlement (cf. la motion 92.3049 Simmen du 2 mars 1992, loi sur les migrations, et le postulat 93.3043 de la Commission des institutions politiques du Conseil national du 25 février 1993, directives pour une loi sur les migrations) ont alors commencé. (p.6)

JC : J'ai supprimé 19933043 car pas dans la même session parlementaire

JC_M

Pour le codage de initiation_actor je ne suis pas sur 

JC_Q","none","none","preparation","compatible_reform","1992-03-02","mp","CN/NC","III","yes","1998-06-26",173,7,1,"1998-06-26",41,0,0,"no","none",2,3,"","19923049","","","","","","","","","","1994-12","1995-21","","","","",""
"19950089-1",12,0,"19950089","Loi fédérale portant modification de l'article 99 de la loi fédérale d'organisation judiciaire (OJ)","Bundesgesetz über eine Berichtigung des Bundesrechtspflegegesetzes (OG Art. 99)","1995-12-11",45,"1995-12-21",1,12,"yes","optional","federal law","Parl","","173.110","","","","10108472","","","",NA,NA,0,"parl_adopted","Message non-trouvé

JC_AC","none","","none","","","","CE/SC","IV","no","1995-12-21",179,0,20,"1995-12-21",42,0,0,"no","none",0,0,"","","","","","","","","","","","","","","","","",""
"19950091-1",18,0,"19950091","Arrêté fédéral sur l'approbation de mesures économiques extérieures","Bundesbeschluss über die Genehmigung von aussenwirtschaftlichen Massnahmen","1996-01-17",45,"1996-03-14",6,43,"no","none","other simple federal decree","DEFR","Aussenwirtschaft; Bericht; Tropenholz; internationales Übereinkommen; Wirtschaftsabkommen; Slowenien; EFTA; Ukraine; Moldau; Albanien; Mazedonien; WTO","","","","","10108566","","","",154,154,0,"parl_adopted","","","","","","","","CN/NC","II","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950091-2",NA,0,"19950091","Arrêté fédéral portant approbation de l'Accord entre les Etats de l'AELE et la République de Slovénie","Bundesbeschluss über das Abkommen zwischen den EFTA-Staaten und der Republik Slowenien","1996-01-17",45,"1996-03-14",6,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DEFR","Aussenwirtschaft; Bericht; Tropenholz; internationales Übereinkommen; Wirtschaftsabkommen; Slowenien; EFTA; Ukraine; Moldau; Albanien; Mazedonien; WTO","","RO 2004 687","http://www.admin.ch/opc/fr/official-compilation/2004/687.pdf","","","","","",171,171,0,"parl_adopted","","","","","","","","CN/NC","II","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950091-3",19,1,"19950091","Arrêté fédéral concernant les Accords de commerce et de coopération économique entre la Confédération suisse et l'Ukraine, la République de Moldova, la République d'Albanie et la Macédoine","Bundesbeschluss betreffend die Abkommen über Handel und wirtschaftliche Zusammenarbeit zwischen der Schweizerischen Eidgenossenschaft und der Ukraine, der Republik Moldau, der Republik Albanien und Mazedonien","1996-01-17",45,"1996-03-14",6,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DEFR","Aussenwirtschaft; Bericht; Tropenholz; internationales Übereinkommen; Wirtschaftsabkommen; Slowenien; EFTA; Ukraine; Moldau; Albanien; Mazedonien; WTO","","","","","","","","",219,219,0,"parl_adopted","pas de ff_output

JC_AC","","","","","","","CN/NC","II","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950091-4",4,1,"19950091","Arrêté fédéral portant approbation de l'accord international de 1994 sur les bois tropicaux","Bundesbeschluss über das Internationale Tropenholz-Uebereinkommen von 1994","1996-01-17",45,"1996-03-14",6,42,"no","none","simple federal decree regarding a funding decision","DEFR","Aussenwirtschaft; Bericht; Tropenholz; internationales Übereinkommen; Wirtschaftsabkommen; Slowenien; EFTA; Ukraine; Moldau; Albanien; Mazedonien; WTO","","RO 1998 1205","http://www.admin.ch/opc/fr/official-compilation/1998/1205.pdf","","","","","",274,274,0,"parl_adopted","pas de ff_output

JC_AC","","","","","","","CN/NC","II","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950091-5",15,1,"19950091","Arrêté fédéral portant approbation des modifications de la Liste LIX-Suisse-Liechtenstein","Bundesbeschluss betreffend Aenderungen der Liste LIX-Schweiz-Liechtenstein ","1996-01-17",45,"1996-03-14",6,43,"no","none","other simple federal decree","DEFR","Aussenwirtschaft; Bericht; Tropenholz; internationales Übereinkommen; Wirtschaftsabkommen; Slowenien; EFTA; Ukraine; Moldau; Albanien; Mazedonien; WTO","","","","","","","","",318,318,0,"parl_adopted","pas de ff_output

JC_AC","","","","","","","CN/NC","II","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950091-6",18,0,"19950091","Arrêté fédéral portant approbation de l'adaptation du tarif général aux modifications de la Liste LIX-Suisse-Liechtenstein","Bundesbeschluss über die Anpassung des Generaltarifs an die geänderte Liste LIX-Schweiz-Liechtenstein","1996-01-17",45,"1996-03-22",6,12,"yes","optional","federal law","DEFR","Aussenwirtschaft; Bericht; Tropenholz; internationales Übereinkommen; Wirtschaftsabkommen; Slowenien; EFTA; Ukraine; Moldau; Albanien; Mazedonien; WTO","632.105.15","","","","10108561","","","",319,319,0,"parl_adopted","","agreement_implementation","none","none","no_eu_law","1995-06-30","international","CN/NC","II","no","1996-03-22",167,0,3,"1996-03-22",40,0,0,"no","none",0,0,"","","","","","","","","","","","","","","F2527","","",""
"19950409-1",20,0,"19950409","Règlement du Conseil des Etats","","1995-09-18",44,"1995-10-06",1,43,"no","none","other simple federal decree","Parl","","","","","","","","","",NA,NA,0,"other_adopted","JC3 : Règlement du CE seul le CE vote","","","","","","","CE/SC","","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950410-1",NA,0,"19950410","Arrêté fédéral concernant les recherches sur les liens entre la Suisse et l'ex-République démocratique allemand","","1997-11-18",45,"2001-06-11",1,43,"no","none","other simple federal decree","Parl","Nachrichtendienst; Deutsche Demokratische Republik; Expertise; Geschichtswissenschaft; Expertenkommission; politische Partei (speziell); PdAdS","","","","","","","","",NA,NA,0,"non-consideration","","","","","","1995-06-14","mp","CN/NC","III","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","19950410","","","","","","","","","","","","","","","",""
"19950415-1",20,0,"19950415","Règlement du Conseil national","","1995-09-18",44,"1995-10-06",1,43,"no","none","other simple federal decree","Parl","","","","","","","","","",NA,NA,0,"other_adopted","JC3 : Règlement du CN seul le CN vote","","","","","","","CN/NC","IV","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19950416-1",20,1,"19950416","Arrêté fédéral portant abrogation du règlement de certaines commissions parlementaires permanentes","","1995-08-24",44,"1995-10-05",1,21,"no","none","ordinance","Parl","","","","","","","","","",NA,NA,0,"other_adopted","","","","","","","","CN/NC","","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19960004-1",20,1,"19960004","Arrêté fédéral concernant la garantie de la constitution du canton d'Appenzell Rhodes-Extérieures","Bundesbeschluss über die Gewährleistung der Verfassung des Kantons Appenzell Ausserrhoden","1996-01-10",45,"1996-09-16",1,43,"no","none","other simple federal decree","DFJP","Gewährleistung kantonaler Verfassungen; Appenzell Ausserrhoden; Totalrevision der Kantonsverfassung; Kantonsverfassung","","","","","10108783","","","",11,11,0,"parl_adopted","","","","","","","","CE/SC","IV","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19960005-1",1,0,"19960005","Arrêté fédéral concernant une convention de double imposition avec la République tchèque","Bundesbeschluss über ein Doppelbesteuerungsabkommen mit der Tschechischen Republik","1996-01-17",45,"1996-09-23",1,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFF","Doppelbesteuerung; Steuerübereinkommen; Tschechische Republik","","","","","","","","",7,7,0,"parl_adopted","JC_AC","","","","","","","CN/NC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
