"consultation_date_end","consultation_date_start","consultation_department","consultation_id","consultation_title"
"2006-05-31","2006-02-14","DFI","2006-7","Article constitutionnel et loi fédérale relative à la recherche sur l'être humain"
"2007-07-09","2007-04-05","DFI","2007-6","Loi fédérale sur les musées et les collections de la Confédération"
"2007-03-26","2006-12-21","DFI","2006-11","Ratification de la Convention pour la sauvegarde du patrimoine culturel immatériel"
"2007-03-26","2006-12-21","DFI","2006-10","Ratification de la Convention de l'UNESCO sur la diversité culturelle"
"2007-07-06","2007-04-16","DETEC","2007-63","Vue d<U+0092>ensemble sur le FTP"
"2007-06-30","2007-03-28","DFJP","2007-28","Approbation et mise en <U+009C>uvre de l<U+0092>échange de notes entre la Suisse et l<U+0092>UE sur la reprise du code frontières Schengen (développement de l<U+0092>acquis de Schengen) et Modifications du droit sur les étrangers et sur l<U+0092>asile en vue de la mise en <U+009C>uvre totale"
"2007-08-15","2007-05-07","DFAE","2007-3","Ratification d<U+0092>une convention ainsi que de l<U+0092>amendement d<U+0092>une convention et adhésion à deux protocoles de révision de l<U+0092>ONU visant à combattre les actes terroristes contre la sécurité nucléaire et maritime"
"2007-03-30","2006-11-29","DFJP","2006-29","Loi sur les conseils en brevets (LCBr); Loi sur le Tribunal fédéral des brevets (LTFB)"
"2011-03-04","2010-11-22","DFI","2010-10","Initiative parlementaire 07.419. Politique en faveur de la famille. Article constitutionnel"
"2008-07-16","2008-04-16","DETEC","2008-61","07.429 - Initiative parlementaire. Assainissement des buttes de tir. Prolongation du délai jusqu'en 2012"
"2011-08-31","2011-05-25","DFE","2011-57","Initiative parlementaire «Ratification de la Convention no 183 de l’OIT sur la protection de la maternité» "
"2008-06-30","2008-04-30","DETEC","2008-62","07.492 Initiative parlementaire. Protection et utilisation des eaux (CEATE-CE)"
"2012-12-21","2012-09-17","DFJP","2012-40","07.500 Initiative parlementaire. Abrogation des dispositions sur le contrat de vente avec paiements préalables"
"2007-06-30","2007-04-18","DFJP","2007-29","Choix du régime de l<U+0092>épuisement en droit des brevets"
"2006-05-31","2005-12-02","DFJP","2005-25","Révision du droit de la société anonyme et du droit comptable dans le Code des obligations"
"2007-01-31","2006-09-06","DFF","2006-41","Loi fédérale relative à une redevance pour l<U+0092>utilisation des routes nationales"
"2007-03-15","2006-12-11","DFF","2006-43","Approbation et mise en oeuvre de l'échange de notes entre la Suisse et l'UE concernant la reprise du règlement CE portant création de de l'Agence européenne pour la gestion de la coopération opérationelle aux frontières extérieures (FRONTEX)"
"2007-10-15","2007-06-27","DFE","2007-89","Révision de la loi fédérale sur le service civil et de la loi fédérale sur la taxe d'exemption de l'obligation de servir"
"2008-02-27","2008-01-23","DFJP","2008-12","Approbation de la reconduction de l'accord entre la Confédération suisse, d'une part, et la Communauté européenne et ses Etats membres, d'autre part, sur la libre circulation des personnes"
"2008-02-27","2008-01-30","DFJP","2008-11","Protocole II relatif à l'extension de l'Accord sur la libre circulation des personnes du 21 juin 1999 aux deux nouveaux Etats membres de l'UE (Bulgarie et Roumanie)"
"2005-12-31","2005-08-17","DFJP","2005-21","Mesures complémentaires dans le domaine du droit pénal nécessaires à la mise en oeuvre du Statut de Rome de la Cour pénale internationale"
"2007-07-05","2007-06-18","DFF","2007-59","Rapport sur la conclusion d<U+0092>une convention de double imposition entre la Suisse et la Colombie en matière d<U+0092>impôt sur le revenu et sur la fortune"
"2007-10-31","2007-09-26","DETEC","2007-75","Ordonnance sur la compensation des émissions de CO2 des centrales à cycles combinés alimentées au gaz."
"2007-03-15","2006-12-01","DFI","2006-9","Révision de la loi fédérale sur l'assurance-accidents (LAA)"
"2007-07-31","2007-02-14","DFF","2007-52","Simplification de la loi fédérale régissant la taxe sur la valeur ajoutée"
"2007-03-16","2006-11-29","DFE","2006-76","Révision partielle de la loi fédérale sur les entraves techniques au commerce (LETC)"
"2006-06-15","2006-03-02","DFE","2006-71","Loi fédérale sur la sécurité des produits (LSPro)"
"2008-03-28","2007-12-14","DFE","2007-90","Révision partielle de la loi sur l'assurance-chômage"
"2005-10-30","2005-06-23","DFJP","2005-19","Modification de la loi fédérale sur la procédure pénale: Surveillance du Ministère public de la Confédération"
"2007-12-31","2007-09-21","DFJP","2007-32","Loi fédérale sur l'organisation des autorités pénales de la Confédération (Loi sur l'organisation des autorités pénales, LOGP)"
"2008-08-04","2008-04-23","DFF","2008-29","Règle complémentaire au frein à l'endettement (modification de la loi sur les finances de la Confédération)"
"2007-10-15","2007-06-29","DFI","2007-7","Modification de la loi fédérale du 25 juin 1982 sur la prévoyance professionnelle vieillesse, survivants et invalidité (LPP)"
"2007-10-31","2007-10-04","DFF","2007-60","Rapport sur la conclusion d<U+0092>une convention de double imposition entre la Suisse et le Chili en matière d<U+0092>impôt sur le revenu et sur la fortune"
"2008-08-20","2008-05-14","DFJP","2008-13","Arrêté fédéral portant approbation et mise en œuvre de l'échange de notes entre la Suisse et l'Union européenne sur la reprise de la décision-cadre 2006/960/JAI relative à la simplification de l'échange d'informations entre les services répressifs"
"2008-03-31","2007-12-21","DFE","2007-91","Révision partielle de la loi sur la recherche"
"2008-05-31","2008-02-27","DFE","2008-68","Modification du code des obligations (bail à loyer)"
"2009-04-17","2008-12-17","DETEC","2008-49","Révision de la loi sur l'aménagement du territoire"
"2009-10-15","2009-06-22","DFJP","2009-46","08.407 n Initiative parlementaire. Faciliter l'admission et l'intégration des étrangers diplômés d'une haute école suisse "
"2009-03-15","2008-11-06","DETEC","2008-45","Via sicura; Programme d'action de la Confédération visant à renforcer la sécurité routière"
"2009-01-12","2008-11-05","DETEC","2008-63","08.445 Iv.pa. Pour une redevance hydraulique équitable"
"2011-09-16","2011-05-20","DFJP","2011-28","08.458 Initiative parlementaire. Investigation secrète. Restreindre le champ d’application des dispositions légales"
"2012-03-16","2011-12-02","DFJP","2011-29","Suppression de l’obligation de remboursement imposée au canton d’origine (LF en matière d’assistance, LAS) "
"2009-04-24","2009-03-30","ChF","2009-1","Loi fédérale sur les droits politiques (Retrait conditionnel d’une initiative populaire) "
"2008-11-26","2008-09-19","DFJP","2008-16","Accord-cadre entre la Confédération suisse et la Principauté de Liechtenstein sur la collaboration concernant la procédure de visa, l’entrée et le séjour ainsi que sur la coopération policière dans la zone frontalière"
"2008-09-12","2008-05-30","DFJP","2008-14","Convention de Lugano révisée"
"2008-11-21","2008-09-10","DFE","2008-71","Constitution d’une réserve au bilan, destinée au financement de mesures d’accompagnement en faveur de l’agriculture"
"2009-07-31","2009-07-21","DFF","2009-70","Rapport complémentaire sur la conclusion d’un nouvel avenant à la convention franco-suisse de 1966 contre les doubles impositions en matière d’impôts sur le revenu et sur la fortune "
"2007-02-13","2007-01-23","DFF","2007-57","Rapport sur la conclusion d<U+0092>une convention contre les doubles impositions entre la Suisse et la Turquie en matière d<U+0092>impôts sur le revenu"
"2009-01-15","2008-12-05","DFF","2008-36","Compensation plus rapide des effets de la progression à froid pour l’impôt fédéral direct"
"2009-05-13","2009-04-24","DDPS","2009-52","Révision de la loi sur l’armée et l’administration militaire en rapport avec la Message concernant l'AF portant approbation de l’engagement de l’armée en service d’appui à l’étranger dans le cadre de l’opération NAVFOR Atalanta de l'UE "
"2008-12-30","2008-09-26","DFJP","2008-17","Arrêté fédéral portant approbation et mise en œuvre de l'échange de notes entre la Suisse et l'UE sur la reprise de la Directive 2008/51/CE modifiant la directive 91/477/CEE du Conseil relative au contrôle de l'acquisition et de la détention d'armes"
"2007-06-30","2006-12-15","DFF","2006-44","Le choix d'un système d'imposition des couples mariés	"
"2009-04-15","2009-02-12","DFF","2009-57","Dégrèvement des familles avec enfants"
"2008-10-03","2008-06-19","DETEC","2008-42","Première révision partielle de la loi sur l’aviation"
"2009-01-31","2008-10-22","DFE","2008-72","Adaptation des critères justifiant un refus de permis au titre de la loi sur le contrôle de biens"
"2008-06-16","2008-03-18","DETEC","2008-41","Révision totale de la législation postale (loi sur la poste et loi sur l’organisation de la Poste)"
"2009-05-13","2009-05-06","DFI","2009-5","Révision urgente de la loi fédérale sur l'assurance-maladie (LAMal) "
"2009-02-13","2008-12-09","DETEC","2008-47","Modification de la loi sur le génie génétique relative à la prolongation du moratoire sur l’utilisation d’OGM dans l’agriculture"
"2008-01-31","2007-09-25","DFI","2007-8","Loi fédérale sur l<U+0092>aide aux hautes écoles et la coordination dans le domaine des hautes écoles (LAHE) "
"2009-04-15","2009-01-14","DFJP","2009-21","Modification de la loi fédérale sur les étrangers concernant le contre-projet indirect à l’ «initiative sur le renvoi» "
"2009-02-13","2008-10-22","DETEC","2008-44","Modification de la loi sur l'énergie, de l'ordonnance sur l'énergie et de l'ordonnance sur la procédure d'approbation des plans d'installations électriques"
"2009-03-17","2008-12-05","DETEC","2008-46","Révision de la loi sur le CO2"
"2009-05-08","2009-03-13","DFI","2009-13","Modification de la loi fédérale du 24 mars 2006 sur les allocations familiales (LAFam) ; création d’un registre des allocations familiales "
"2008-09-30","2008-06-09","DFE","2008-70","Modification de la loi fédérale contre la concurrence déloyale (LCD)"
"2009-08-14","2009-05-13","DFJP","2009-26","Echange de notes entre la Suisse et l’Union européenne sur la reprise de la décision-cadre 2008/977/JAI relative à la protection des données à caractère personnel traitées dans le cadre de la coopération policière et judiciaire en matière pénale "
"2005-10-31","2005-06-22","DFI","2005-3","Loi fédérale sur les professions relevant du domaine de la psychologie (loi fédérale sur les professions de la psychologie, LPsy"
"2008-10-31","2008-06-30","DFI","2008-2","Loi fédérale sur la prévention et la promotion de la santé (loi sur la prévention) et loi fédérale sur l’Institut suisse pour la prévention et la promotion de la santé"
"2009-04-29","2009-01-29","DFI","2009-3","Loi fédérale sur le numéro d'identification des entreprises (LIDE)"
"2008-09-30","2008-06-06","DDPS","2008-24","Loi fédérale sur l'encouragement du sport et de l'activité physique. Loi fédérale sur les systèmes d’information de la Confédération dans le domaine du sport"
"2009-04-17","2008-12-19","DETEC","2008-48","Arrêté fédéral sur l’étape de financement 2011 – 2014 du programme en faveur du trafic d’agglomération"
"2009-10-07","2009-06-24","DFJP","2009-29","Rapport explicatif sur l'approbation et la mise en œuvre de l’échange de notes entre la Suisse et la Communauté européenne concernant l’introduction de la biométrie dans les titres de séjour pour étrangers (développement de l’acquis de Schengen) "
"2008-03-31","2007-11-28","DFJP","2007-33","Swissness: Loi fédérale sur la protection des marques et des indications de provenance, Loi fédérale pour la protection des armoiries de la Suisse et autres signes publics"
"2010-09-15","2010-07-12","DFJP","2010-26","Modification d'ordonnance suite à la reprise et la mise en oeuvre de l'échange de notes entre la Suisse et la CE concernant la reprise de la directive CE sur le retour (directive 2008/115/CE) (développement de l'acquis de Schengen) "
"2009-04-15","2009-01-12","DFJP","2009-20","Projet de modification de la loi sur l’asile (LAsi) et de la loi fédérale sur les étrangers (LEtr) "
"2009-03-31","2008-12-12","DFJP","2008-20","Protection des données résultant de l’utilisation de l’infrastructure électronique de la Confédération"
"2009-10-05","2009-06-24","DFF","2009-59","Accord entre la Confédération suisse et la Communauté européenne relatif à la facilitation des contrôles et des formalités lors du transport des marchandises ainsi qu'aux mesures douanières de sécurité "
"2013-01-15","2012-10-03","DFJP","2012-42","09.430 Iv. pa. Loi sur l<U+0092>aide aux victimes. Octroi à la victime de droits importants en matière d<U+0092>information"
"2011-01-21","2010-10-21","DFJP","2010-34","09.439 n Iv.pa. Assurer l'accès à une carte d'identité classique, non biométrique, sans puce, à tous les ressortissants suisses / 10.308 n Iv.ct. TG. Loi sur les documents d'identité. Modification"
"2011-05-23","2011-02-23","DFE","2011-56","09.462 Initiative parlementaire. Libéralisation des heures d’ouverture des shops des stations-service "
"2010-12-15","2010-09-15","DETEC","2010-95","09.474. Iv.pa. CEATE-CE. Flexibilisation de la politique forestière en matière de surface"
"2011-02-28","2010-10-21","DFI","2010-9","09.480 n Iv.pa. Pas d'élargissement de l'obligation de renseigner lors des relevés statistiques de la Confédération"
"2011-03-10","2010-11-16","DETEC","2010-96","09.499. Iv.pa. CEATE-CN. Agrocarburants. Prise en compte des effets indirects"
"2011-03-04","2011-01-20","DFE","2011-55","Maintien des exportations suisses de bétail"
"2009-10-15","2009-07-01","DFI","2009-7","Modification de la loi fédérale sur les aides financières à l’accueil extra-familial pour enfants "
"2009-12-11","2009-09-11","DFJP","2009-33","Participation de la Suisse au Fonds pour les frontières extérieures"
"2009-08-28","2009-06-29","DFJP","2009-42","Loi sur la coordination entre la procédure d'asile et la procédure d'extradition "
"2009-10-15","2009-06-17","DFI","2009-6","Assurance-invalidité - 6e révision de l'AI, Premier train de mesures"
"2008-11-03","2008-07-02","DFF","2008-31","Projet destiné à la consultation sur l’assainissement de la caisse de pensions des CFF"
"2009-09-06","2009-05-06","DFF","2009-58","Loi fédérale sur l'achat de marchandises dans les boutiques hors taxes des aéroports "
"2010-04-16","2010-02-24","DFAE","2010-1","Loi fédérale sur la restitution des valeurs patrimoniales d'origine illicite de personnes politiquement exposées (Loi sur la restitution des avoirs illicites, LRAI)"
"2009-03-01","2008-11-20","DFF","2008-33","Loi fédérale sur l’exonération fiscale de la solde allouée pour le service du feu"
"2009-12-31","2009-09-11","DFF","2009-61","Loi fédérale sur la garantie des dépôts bancaires "
"2008-11-15","2008-05-30","DFF","2008-30","Avant-projet et rapport explicatif ayant trait à la révision totale de la loi sur les marchés publics"
"2010-03-22","2009-12-16","DFJP","2009-39","Projet de modification de la loi sur l'asile et de la loi fédérale sur les étrangers concernant le remplacement des décisions de non-entrée en matière "
"2009-06-30","2009-03-13","DFJP","2009-24","Approbation et mise en œuvre de la Convention du Conseil de l'Europe sur la cybercriminalité "
"2010-02-15","2009-11-06","DFF","2009-62","Loi fédérale sur l’imposition de la propriété privée du logement (imposition de la propriété du logement) "
"2010-05-28","2010-04-14","DFF","2010-43","Programme de consolidation 2011-2013 (PCO 2011/2013) et rapport sur la mise en oeuvre du réexamen des tâches"
"2009-01-05","2008-09-19","DFF","2008-32","Révision de la loi sur le personnel de la Confédération du 24 mars 2000 (LPers)"
"2010-05-31","2010-02-17","DDPS","2010-38","Révision partielle de la loi sur la protection de la population et sur la protection civile (LPPCi)"
"2010-06-11","2010-04-13","DETEC","2010-86","Loi d'application art. 86 Constitution fédérale (Financement spécial en faveur du trafic aérien): Modification de la loi concernant l'utilisation de l'impôt sur les huiles minérales à affectation obligatoire (LUMin)"
"2010-05-10","2010-02-09","DETEC","2010-83","Révision partielle de la loi sur la radio et la télévision"
"2010-07-31","2010-04-14","DFJP","2010-19","Loi fédérale sur la métrologie"
"2010-03-15","2009-11-27","DFJP","2009-36","Mise en œuvre et ratification de la Convention du Conseil de l'Europe sur la lutte contre la traite des êtres humains. Avant-projet de loi fédérale sur la protection extraprocédurale des témoins (loi sur la protection des témoins, Ltém) "
"2010-07-02","2010-03-31","DFF","2010-42","Rapport sur l'évaluation de l'efficacité de la péréquation financière entre la Confédération et les cantons 2008-2011"
"2008-03-31","2007-12-31","DFI","2007-9","Loi fédérale sur la lutte contre les maladies transmissibles de l'être humain (Loi sur les épidémies)"
"2012-07-02","2012-04-02","DETEC","2012-93","10.324 Iv. ct. Loi sur la protection des eaux. Modification (BE)"
"2011-12-31","2011-10-26","DFJP","2011-32","10.444 Iv.pa. Code de procédure pénale. Dispositions relatives à la rédaction des procès-verbaux"
"2014-02-28","2013-11-20","DFF","2013-127","10.450 Iv.pa. Réprimer durement la vente de données bancaires"
"2010-12-24","2010-10-29","DFF","2010-51","10.459 Iv.Pa. « Accéder à la propriété grâce à I'épargne-logement » et « Pour un traitement fiscal privilégié de I'épargne-logement destinée à I'acquisition d'une habitation à usage personnel ou (initiative sur I'épargne-logement)»"
"2013-09-30","2013-06-06","DFJP","2013-122","10.467 Iv.pa. Prévention de l<U+0092>endettement par l<U+0092>interdiction de la publicité en faveur des petits crédits"
"2009-02-15","2008-11-05","DFJP","2008-18","Loi fédérale concernant les mesures de lutte contre les mariages forcés"
"2010-10-01","2010-06-25","DFE","2010-58","Révision de la loi fédérale encourageant l'innovation, la coopération et le développement du savoir dans le domaine du tourisme (Innotour)"
"2010-11-24","2010-08-25","DFI","2010-7","Message sur le financement de la culture pour les années 2012 à 2015 (message sur la culture) "
"2010-03-22","2009-12-16","DFJP","2009-37","Révision totale de la loi sur la nationalité"
"2010-08-07","2010-04-14","DFF","2010-44","Loi fédérale sur l'imposition des frais de formation et de perfectionnement"
"2011-01-15","2010-10-20","DETEC","2010-82","Modification de l'article 8 de la loi sur l'énergie"
"2011-03-23","2010-12-22","DFF","2010-48","Modification de la loi sur les banques (too big to fail, TBTF)"
"2010-10-15","2010-06-25","DFI","2010-4","Assurance-invalidité - 6e révision de l'AI, deuxième volet (révision 6b)"
"2009-10-16","2009-07-01","DFI","2009-8","Révision de la loi sur les denrées alimentaires"
"2010-09-02","2010-05-12","DFJP","2010-20","Approbation et mise en oeuvre du Protocole de l'ONU sur les armes à feu (projet I) et modification de la loi sur les armes (projet II)"
"2011-02-25","2010-11-19","DFAE","2010-2","Ratification de la Convention du 30 mai 2008 sur les armes à sous-munitions et modification de la loi du 13 décembre 1996 sur le matériel de guerre, Rapport explicatif pour la procédure de consultation"
"2010-10-04","2010-05-26","DFJP","2010-22","Rapport et avant-projet relatifs à la modification du code pénal suisse et du code pénal militaire concernant la mise en oeuvre de l'art. 123b Cst. sur l'imprescriptibilité des actes d'ordre sexuel ou pornographique commis sur des enfants impubères"
"2010-12-17","2010-09-08","DFF","2010-47","Loi fédérale sur l'imposition d'après la dépense "
"2011-04-13","2011-01-13","DFF","2011-38","Nouvelle loi sur l’assistance administrative fiscale "
"2010-04-30","2010-01-13","DFF","2010-41","Modification de la loi fédérale sur les bourses et le commerce des valeurs mobilières (délits boursiers et abus de marché)"
"2010-08-31","2010-05-12","DFE","2010-55","Loi fédérale sur la circulation des espèces de faune et de flore protégées / Modification de la loi sur les épizooties / Modification de la loi sur la protection des animaux"
"2011-07-06","2011-04-07","DFI","2011-3","Contre-projet direct à l’initiative populaire «Oui à la médecine de famille»"
"2011-01-21","2010-10-01","DETEC","2010-81","Approbation de la Convention du Conseil de l'Europe relative au paysage (Convention européenne du paysage)"
"2010-02-28","2009-10-28","DFI","2009-11","Loi fédérale sur l’encouragement de la recherche et de l’innovation (LERI) "
"2009-04-30","2009-01-28","DFJP","2009-23","Révision du code civil suisse (autorité parentale) et du code pénal suisse (art. 220) "
"2013-02-22","2012-11-12","DFJP","2012-43","Iv.pa. 11.431. Initiative parlementaire. Réhabilitation des personnes placées par décision administrative"
"2013-08-30","2013-05-14","DFAE","2013-119","11.446 é Iv.pa. Lombardi. Pour une loi sur les Suisses de l'étranger"
"2013-10-18","2013-06-06","DFI","2013-121","11.457 Iv.Pa. «Permettre aux fonds de bienfaisance de jouer leur rôle»"
"2013-10-15","2013-06-25","DETEC","2013-123","11.466 Iv. pa. Délai d'assainissement des sites pollués (Recordon)"
"2013-06-03","2013-02-27","DFI","2013-6","Initiative populaire «Pour une caisse publique d<U+0092>assurance-maladie» et contre-projet indirect (Modification de la loi fédérale sur l<U+0092>assurance-maladie; LAMal)"
"2008-10-15","2008-07-07","DETEC","2008-43","Adaptation de l’arrêté fédéral sur le réseau des routes nationales"
"2011-07-08","2011-03-31","DFF","2011-63","Modification de la loi sur la vignette autoroutière dans le cadre de l’adaptation de l’arrêté fédéral sur le réseau des routes nationales "
"2011-12-16","2011-09-16","DETEC","2011-65","Stratégie biodiversité Suisse"
"2011-09-30","2011-06-22","DFI","2011-4","Correction des primes payées entre 1996 et 2011"
"2011-05-10","2011-02-04","DFI","2011-2","Projet de loi sur la surveillance de l'assurance-maladie sociale (LSAMal)"
"2010-11-19","2010-06-30","DFE","2010-59","Modification de la loi fédérale sur les cartels et autres restrictions à la concurrence"
"2011-07-06","2011-03-30","DFE","2011-50","Modification de la loi sur les cartels, partie 2 : Mise en oe<U+009C>uvre de la motion Schweiger (07.3856) : Droit des cartels. Equilibrer le dispositif des sanctions et le rendre plus efficace"
"2011-10-10","2011-09-23","DFE","2011-53","Interdiction partielle des cartels avec possibilité de justification : adaptation de l’art. 5 de la loi sur les cartels conformément à la décision du Conseil fédéral du 17 août 2011 "
"2012-04-13","2011-11-09","DFE","2011-54","Loi fédérale sur la formation continue (Loi sur la formation continue, LFCo)"
"2011-10-21","2011-06-30","DFI","2011-7","Loi fédérale sur les tâches, l’organisation et le financement de l’Institut fédéral de météorologie et de climatologie (Loi sur la météorologie, LMét)"
"2011-08-31","2011-06-15","DFF","2011-43","Loi fédérale sur une adaptation de la LIFD et de la LHID aux dispositions générales du code pénal"
"2011-10-07","2011-07-06","DFF","2011-39","Modification de la loi fédérale sur les placements collectifs"
"2011-12-31","2011-09-23","DFE","2011-52","Loi fédérale portant modification des mesures d’accompagnement à la libre circulation des personnes"
"2010-03-26","2009-12-16","DETEC","2009-81","Approbation et modification de la Convention d’Aarhus et modification de la loi sur la protection de l’environnement "
"2010-10-30","2010-06-30","DFJP","2010-25","Modification du code pénal et du code pénal militaire (réforme du droit des sanctions)"
"2007-08-13","2007-05-10","DFE","2007-93","Reprise de la directive européenne 2005/36/CE sur la reconnaissance des qualifications professionnelles dans l'Annexe III de l'Accord du 21 juin 1999 sur la libre circulation des personnes"
"2010-09-17","2010-05-26","DFF","2010-45","Révision de la loi sur le Contrôle des finances"
"2011-11-18","2011-10-03","DFF","2011-40","Loi fédérale sur l’imposition internationale à la source (LISint) "
"2012-04-27","2012-01-18","DFJP","2012-17","Modification de la loi fédérale concernant la lutte contre le blanchiment d<U+0092>argent et le financement du terrorisme dans le secteur financier (Loi sur le blanchiment d<U+0092>argent)"
"2011-11-30","2011-08-17","DFJP","2011-17","Approbation et mise en oeuvre de la Convention du Conseil de l’Europe sur la protection des enfants contre l’exploitation et les abus sexuels (Convention de Lanzarote). "
"2012-03-12","2011-11-30","DFJP","2011-22","Loi fédérale sur la compétence de conclure des traités internationaux de portée mineure et sur l’application provisoire des traités internationaux"
"2011-05-31","2011-02-23","DFJP","2011-16","Modification de la Constitution, du code pénal, du code pénal militaire et du droit pénal des mineurs (interdiction d’exercer une activité, interdiction de contact et interdiction géographique)"
"2012-01-21","2011-10-12","DFJP","2011-19","Modification du code pénal (CP) et du code pénal militaire (CPM). Prolongation du délai de prescription"
"2012-10-29","2012-10-17","DDPS","2012-46","Contributions de la Confédération pour les Jeux olympiques d<U+0092>hiver Suisse 2022"
"2012-11-05","2012-10-24","DFI","2012-7","LF sur l<U+0092>assurance-maladie (LAMal) (Réintroduction temporaire de l<U+0092>admission selon le besoin)"
"2012-08-31","2012-05-09","DETEC","2012-70","Révision de la loi fédérale sur la réduction du bruit émis par les chemins de fer"
"2012-10-01","2012-08-28","DFF","2012-52","Ordonnance sur la liquidité des banques (Ordonnance sur les liquidités, OLiq)"
"2012-10-25","2012-09-21","DETEC","2012-76","Accord entre la Confédération suisse et la République fédérale d<U+0092>Allemagne relatif aux effets de l<U+0092>exploitation de l<U+0092>aéroport de Zurich sur le territoire de la République fédérale d<U+0092>Allemagne"
"2011-04-15","2010-12-22","DFAE","2010-3","Convention internationale du 13 décembre 2006 sur les droits des personnes handicapées"
"2013-01-31","2012-09-28","DETEC","2012-77","Stratégie énergétique 2050"
"2011-05-30","2011-04-01","DFJP","2011-23","Mandat de renégociation de l'Accord du 27 avril 1999 entre la Confédération suisse, la République d'Autriche et la Principauté de Liechtenstein concernant la coopération transfrontalière des autorités compétentes en matière de sécurité et de douane"
"2012-01-31","2011-10-12","DFJP","2011-20","Projet de loi sur les prestations de sécurité privées fournies à l’étranger"
"2012-10-19","2012-06-27","DDPS","2012-45","Révision partielle de la loi fédérale sur la protection de la population et sur la protection civile (LPPCi)"
"2013-01-31","2012-11-14","DFE","2012-108","Déplafonnement du pourcent de solidarité de l<U+0092>assurance-chômage"
"2011-10-21","2011-06-29","DFI","2011-5","Modification partielle de la loi sur la transplantation du 8 octobre 2004"
"2012-10-18","2012-06-27","DFJP","2012-25","Révision de la LF sur les étrangers concernant les sanctions applicables aux entreprises de transport («carrier sanctions»), le système d<U+0092>information sur les données relatives aux passagers et le financement de places de détention administrative"
"2013-03-15","2013-02-14","DFF","2013-51","Accord entre la Suisse et les Etats-Unis visant à faciliter la mise en <U+009C>uvre de FATCA et projet de loi fédérale sur l<U+0092>application dudit accord"
"2012-09-06","2012-05-16","DETEC","2012-72","Approbation du Protocole de Nagoya sur l<U+0092>accès aux ressources génétiques et le partage juste et équitable des avantages découlant de leur utilisation et sa mise en <U+009C>uvre (LF sur la protection de la nature et du paysage)"
"2012-12-21","2012-09-21","DETEC","2012-75","Construction et financement d<U+0092>un corridor de quatre mètres pour le fret ferroviaire sur l<U+0092>axe du Saint-Gothard"
"2012-08-29","2012-05-10","DETEC","2012-71","Révision partielle de la loi fédéral sur la radio et la télévison (LRTV)"
"2010-03-31","2009-12-16","DFJP","2009-38","Code civil (Partage de la prévoyance professionnelle en cas de divorce) "
"2011-12-20","2011-09-16","DFI","2011-9","Loi fédérale sur le dossier électronique du patient (LDEP)"
"2009-05-18","2009-02-18","DFI","2009-4","Modification de la loi fédérale sur la procréation médicalement assistée (diagnostic préimplantatoire) "
"2011-09-30","2011-06-29","DFI","2011-8","Modification de l'article 119 de la Constitution et de la loi fédérale sur la procréation médicalement assistée (admission du diagnostic préimplantatoire)"
"2012-09-30","2012-06-11","DFI","2012-5","Révision de la loi sur l<U+0092>instruction des Suisses de l<U+0092>étranger (LISE)"
"2012-09-30","2012-05-23","DFJP","2012-22","Code pénal suisse et code pénal militaire (mise en <U+009C>uvre de l<U+0092>art. 121, al. 3 à 6, Cst. relatif à l<U+0092>expulsion des étrangers criminels)"
"2013-02-14","2012-10-31","DFE","2012-107","Révision totale de la loi fédérale du 6 octobre 2006 sur les contributions aux cantons pour l<U+0092>octroi de bourses et de prêts d<U+0092>études dans le domaine de la formation du degré tertiaire (loi sur les contributions à la formation, RS 416.0)"
"2012-08-31","2012-04-25","DETEC","2012-69","Message concernant la modification de la loi fédérale sur la protection des eaux (Financement selon le principe de causalité de l<U+0092>élimination des composés traces organiques dans les eaux usées)"
"2014-04-18","2013-12-13","DFI","2013-102","Loi sur les professions de la santé, LPSan (titre provisoire)"
"2013-05-31","2013-02-27","DDPS","2013-48","Modification de la loi fédérale sur le renseignement civil (LRFC)"
"2013-02-06","2012-12-21","DFJP","2012-39","La loi fédérale sur la concentration des compétences en matière de surveillance des entreprises de révision et des sociétés d<U+0092>audit"
"2013-03-08","2012-11-21","ChF","2012-1","Modfication de la Loi fédérale sur les recueils du droit fédéral et la Feuille fédérale (Loi sur les publications officielles, LPubl)"
"2012-10-11","2012-06-15","DETEC","2012-73","Conditions d<U+0092>admission des entreprises de transport par route et dispositions pénales en droit des transports; modification de la loi sur les entreprises de transport par route et d<U+0092>autres actes normatifs"
"2012-12-21","2012-09-21","DFF","2012-50","Révision totale de la loi sur les produits de construction (LPCo) et de l<U+0092>ordonnance sur les produits de construction (OPCo)"
"2013-04-21","2012-12-19","DETEC","2012-78","Modification de la loi fédérale sur le transit routier dans la région alpine"
"2013-09-18","2013-08-14","DFF","2013-56","Modification de la loi sur l<U+0092>assistance administrative fiscale: procédure de consultation accélérée"
"2013-02-20","2012-11-15","DFF","2012-57","Loi fédérale sur l<U+0092>abrogation de la Commission fédérale de remise de l<U+0092>impôt fédéral direct (Loi sur la remise fiscale)"
"2013-03-08","2012-11-21","ChF","2012-2","Modification de la loi sur la consultation (LCo)"
"2013-06-24","2013-03-15","DDPS","2013-45","Révision totale de la loi fédérale sur la protection des biens culturels en cas de conflit armé"
"2012-11-07","2012-07-09","DFJP","2012-26","Modification du code civil, du code de procédure civile et de la fédérale en matière d'assistance (entretien de l'enfant)"
"2013-06-30","2013-03-08","ChF","2013-1","Révision partielle de la loi sur les droits politiques (LDP)"
